team,country,local,international
AL-AHLY,EGIPTO,95,24
RANGERS,ESCOCIA,114,1
NACIONAL,URUGUAY,104,9
PEÑAROL,URUGUAY,97,9
CELTIC,ESCOCIA,105,1
BARCELONA,ESPAÑA,74,17
REAL MADRID,ESPAÑA,64,26
BENFICA,PORTUGAL,79,2
OLYMPIACOS,GRECIA,75,0
PORTO,PORTUGAL,68,7
AL FAISALY,JORDANIA,72,2
MANCHESTER UNITED,INGLATERRA,63,8
BAYERN MUNICH,ALEMANIA,59,11
AJAX,PAÍSES BAJOS,59,10
JUVENTUS,ITALIA,56,10
GALATASARAY,TURQUÍA,59,2
ANDERLECHT,BÉLGICA,55,5
LIVERPOOL,INGLATERRA,48,11
STEAUA,RUMANÍA,56,2
OLIMPIA,PARAGUAY,49,8
COLO-COLO,CHILE,51,3
BOCA,ARGENTINA,36,18
ZAMALEK,EGIPTO,42,11
RAPID VIENA,AUSTRIA,52,0
DEPORTIVO SAPRISSA,COSTA RICA,42,8